Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Contracture(s)? permanente(s)?,158,104.94,1.46,0.3465,0.1767
Contracture(s)? tardive(s)?,29,52.83,3.97,0.1985,0.4564
Contracture(s)? de(s)? uretère(s)?,0,0,0,0,0
Coupe(s)? verticale(s)?,86,64.82,1.65,0.2326,0.1983
Convulsionnaire(s)?,95,137.46,3.17,0.4389,0.3679
Convulsion(s)?,3112,46.1,0.03,0.1794,0.0176
Corde(s)? (du|des) tympan(s)?,45,71.12,3.45,0.2505,0.3992
Corps granuleux,235,130.65,1.22,0.4196,0.1502
Corps opto-strié(s)?,22,31.83,3.14,0.1388,0.3642
Courant(s)? électriques(s)?,41,42.7,2.27,0.1697,0.2677
Crise(s)? gastrique(s)?,184,97.64,1.17,0.3258,0.144
Danse(s)?,253,72.78,0.63,0.2552,0.0845
Décubitus aigu(s)?,30,72.83,5.29,0.2553,0.6038
Dégénération(s)? cireuse(s)?,2,8.44,8.07,0.0724,0.9143
Délire(s)?,8845,264.05,0.07,0.7986,0.0213
Démarche(s)?,709,31.99,0.1,0.1393,0.0251
Diplopie(s)?,415,58.92,0.31,0.2158,0.0488
Douleurs(s)?,4044,59.91,0.03,0.2186,0.0176
Dynamométrie(s)?,2,7.05,6.75,0.0684,0.7664
Ecchymoses(s)?,179,77.92,0.96,0.2698,0.1206
[EÉ]criture(s)?,796,99.63,0.28,0.3314,0.0447
Ecthyma(s)?,8,20.88,5.53,0.1077,0.6313
[EÉ]lectro-diagnostic(s)?,32,42.53,2.9,0.1692,0.3371
Embolie(s)?,292,31.72,0.24,0.1385,0.0406
Embarras\s+(de\s+)?parole,2,8.44,8.07,0.0724,0.9143
Encéphalite(s)?,826,117.27,0.31,0.3816,0.0488
Endocardite(s)?,110,86.41,1.72,0.2939,0.2062
[EÉ]pidémie(s)?,478,36.51,0.17,0.1521,0.0327
[EÉ]pilepsie(s)?,5726,170.94,0.07,0.534,0.0213
[ÉE]pilepsie(s)? spinale(s)?,97,89.6,2.03,0.3029,0.2399
[EÉ]ruption(s)?,431,53.95,0.28,0.2017,0.0447
[EÉ]rythème(s)? pernio(s)?,1,4.22,7.14,0.0604,0.8104
Escarre(s)? (de|des) la fesse(s)?,1,4.22,7.14,0.0604,0.8104
Escarre(s)? sacrée(s)?,12,24.27,4.34,0.1173,0.4981
[EÉ]tat(s)? de(s)? (mal|maux) épileptique(s)?,70,70.04,2.19,0.2474,0.2585
[EÉ]tat(s)? de(s)? (mal|maux) hystéro-épileptique(s)?,24,54.57,4.94,0.2034,0.565
[EÉ]ther(s)?,284,40.32,0.31,0.1629,0.0488
Excitabilité(s)?,1450,43.29,0.07,0.1714,0.0213
Expériences(s)?,2550,37.78,0.03,0.1557,0.0176
Faisceau(x)? racliculaire(s)? interne(s)?,1,4.22,7.14,0.0604,0.8104
Faradisation(s)?,234,96.61,0.91,0.3229,0.1152
Fève(s)? de(s)? Calabar(s)?,10,28.33,6.05,0.1289,0.6889
Ganglion(s)?,1900,28.15,0.03,0.1284,0.0176
Géomorphisme(s)? cutané(s)?,0,0,0,0,0
Glossy skin(s)?,8,24.97,6.62,0.1193,0.7521
Globe(s)? hystérique(s)?,10,31.21,6.67,0.1371,0.7574
Griffe(s)?,206,63.34,0.68,0.2284,0.0893
Hématomyélie(s)?,70,72.9,2.28,0.2555,0.2684
Hématome(s)?,101,82.65,1.79,0.2832,0.2142
Hémarthrose(s)?,0,0,0,0,0
Hémianesthésie(s)? hystérique(s)?,54,66.08,2.68,0.2361,0.3126
Hémianesthésie(s)? de(s)? cause(s)? encéphalique(s)?,3,12.66,8.44,0.0844,0.9552
Hémichorée(s)?,123,96.62,1.72,0.3229,0.2063
Hémiopie(s)?,258,164.09,1.4,0.5146,0.1699
Hémiparaplégie(s)?,50,86.73,3.79,0.2948,0.4371
Hémiplégie(s)?,2447,36.25,0.03,0.1514,0.0176
Hémorragie(s)?,595,159.62,0.59,0.5019,0.0798
Hémorragie(s)? digestive(s)?,0,0,0,0,0
Hémorragie(s)? interne(s)?,1,4.22,7.14,0.0604,0.8104
Hémorragie(s)? intra-cérébrale(s)?,0,0,0,0,0
Hémorragie(s)? méningée(s)?,35,44.63,2.78,0.1752,0.3242
Histologie(s)?,274,63.16,0.51,0.2278,0.0705
Hypérémié(s)?,30,45.34,3.29,0.1772,0.3812
Hyperesthésie(s)? ovarienne(s)?,42,89.88,4.67,0.3038,0.5354
Hypnose(s)?,385,134.1,0.77,0.4294,0.0994
Hystérie(s)?,5805,173.3,0.07,0.5407,0.0213
Hystérie(s)? épileptiforme(s)?,14,36.54,5.62,0.1522,0.641
Hystérie(s)? ovarienne(s)?,7,19.83,5.98,0.1047,0.6806
Hystérie(s)? grave(s)?,32,48.37,3.29,0.1858,0.3814
Hystérie(s)? locale(s)?,45,78.06,3.79,0.2702,0.4368
Hystérie(s)? infantile(s)?,75,118.53,3.46,0.3852,0.4002
Hystérie(s)? locale(s)? traumatique(s)?,2,7.05,6.75,0.0684,0.7664
Hystéro-épilepsie(s)?,283,179.98,1.4,0.5597,0.1699
Idée(s)? fixe(s)?,634,194.95,0.68,0.6022,0.0894
Immobilisation(s)?,68,62.81,2.02,0.2268,0.2396
Incoorbination(s)? motrice(s)?,1,4.22,7.14,0.0604,0.8104
Infection(s)?,1012,126.67,0.28,0.4083,0.0447
Intoxication(s)?,1932,87.17,0.1,0.2961,0.0251
Irritabilité(s)?,264,41.99,0.35,0.1677,0.053
Irritation(s)?,929,13.76,0.03,0.0875,0.0176
Ischémie(s)?,138,69.82,1.11,0.2468,0.1379
Ischurie(s)?,88,139.08,3.47,0.4435,0.4005
Langue(s)?,2760,82.39,0.07,0.2825,0.0213
Latéropulsion(s)?,9,25.5,6.03,0.1208,0.6867
Lèpre(s)?,236,131.2,1.22,0.4212,0.1502
Lésion(s)?,17234,0.0,0.0,0.0484,0.014
Lésion(s)? oculaire(s)?,22,30.5,3.01,0.135,0.3496
Localisation(s)? cérébrale(s)?,238,77.99,0.72,0.27,0.0943
Main(s)?,16900,0.0,0.0,0.0484,0.014
Maladie(s)?( de)? Charcot,26,49.84,4.17,0.19,0.479
Maladie(s)?( de)? Charcot-Marie,0,0,0,0,0
Maladie(s)?( de)? Charcot-Marie-Tooth,0,0,0,0,0
Maladie(s)?( de)? Gilles de la Tourette,2,7.05,6.75,0.0684,0.7664
Maladie(s)?( de)? Parkinson,76,70.2,2.02,0.2478,0.2397
Maladie(s)? dégénérative(s)?,1,4.22,7.14,0.0604,0.8104
Marie-Tooth,0,0,0,0,0
Méningite(s)? ascendante(s)?,8,24.97,6.62,0.1193,0.7521
Méningite(s)? cervical(es)?,80,80.05,2.19,0.2758,0.2586
Métalloscopie(s)?,74,149.65,4.43,0.4736,0.5082
Méthode(s)? anatomo-clinique(s)?,40,51.0,2.78,0.1933,0.3245
Migraine(s)? ophtalmoplégique(s)?,7,18.27,5.51,0.1003,0.6281
Miracle(s)?,125,72.74,1.28,0.2551,0.1564
Moëlle(s)? épinière(s)?,4,12.48,6.39,0.0839,0.7263
Muscle(s)?,8307,123.07,0.03,0.398,0.0176
Myélite(s)? aiguë(s)? centrale(s)?,14,49.37,7.6,0.1887,0.8611
Myélite(s)? partielle(s)?,19,46.13,5.26,0.1794,0.6004
Myélite(s)? traumatique(s)?,7,18.27,5.51,0.1003,0.6281
Myélopathie(s)?,29,47.98,3.6,0.1847,0.4158
Myélopathie(s)? cervicale(s)?,0,0,0,0,0
Myélopathie(s)? syphilitique(s)?,0,0,0,0,0
Myodynie(s)?,2,8.44,8.07,0.0724,0.9143
Myopathie(s)?,313,122.34,0.86,0.396,0.1098
Néphro-cystite(s)?,2,8.44,8.07,0.0724,0.9143
Néphrotomie(s)?,4,16.88,8.64,0.0963,0.9771
Nerf(s)?,8750,0.0,0.0,0.0484,0.014
Nerf(s)? dilatateur(s)?,13,40.57,6.71,0.1637,0.7625
Nerf(s)? faci(al|aux),154,67.04,0.96,0.2389,0.1206
Nerf(s)? glandulaire(s)?,6,25.32,8.84,0.1203,1.0
Nerf(s)? sciatique(s)?,223,97.08,0.96,0.3242,0.1207
Nerf(s)? sécréteur(s)?,8,24.97,6.62,0.1193,0.7521
Nerf(s)? trijumeau(x)?,46,51.91,2.47,0.1959,0.2891
Nerf(s)? trophique(s)?,26,43.02,3.6,0.1706,0.4153
Nerf(s)? vaso-moteur(s)?,35,55.32,3.45,0.2055,0.3985
Névrite(s)?,2231,170.39,0.17,0.5325,0.0327
Névroglie(s)?,739,117.55,0.35,0.3824,0.053
Nitrite(s)? d'amyle(s)?,33,49.88,3.3,0.1901,0.3815
Nutrition(s)?,1169,17.32,0.03,0.0976,0.0176
Nystagmus,411,58.35,0.31,0.2142,0.0488
Oblitération(s)?,357,75.75,0.47,0.2636,0.066
Oligurie(s)? hystérique(s)?,2,7.05,6.75,0.0684,0.7664
Organisation(s)? de la mo[eë]lle épinière,0,0,0,0,0
Os,109370,0.0,0.0,0.0484,0.014
Ovaire(s)?,338,97.24,0.63,0.3246,0.0845
Ovarie(s)? hystérique(s)?,1,4.22,7.14,0.0604,0.8104
Pachymeningite(s)?,3,10.58,7.05,0.0784,0.8006
Pachymeningite(s)? cervicale(s)?,3,10.58,7.05,0.0784,0.8006
Pachymeningite(s)? cervicale(s)? hypertrophique(s)?,1,4.22,7.14,0.0604,0.8104
Pachymeningite(s)? cervicale(s)? hypertrophique(s)? idiopathique(s)?,0,0,0,0,0
Paralysie(s)? agitante(s)?,320,111.46,0.77,0.3651,0.0994
Paralysie(s)? bulbaire(s)?,150,91.29,1.34,0.3078,0.163
Paralysie(s)? consécutive(s)?,26,41.09,3.44,0.1651,0.3974
Paralysie(s)? générale(s)? progressive(s)?,91,39.61,0.95,0.1609,0.1205
Paralysie(s)? générale(s)? spinale(s)?,45,86.26,4.19,0.2935,0.4812
Paralysie(s)? hystérique(s)?,157,91.36,1.28,0.308,0.1565
Paralysie(s)? infantile(s)?,286,93.72,0.72,0.3147,0.0943
Paralysie(s)? labio-glosso-laryngée(s)?,38,60.06,3.45,0.219,0.3987
Paralysie(s)? progressive(s)?,121,55.46,1.01,0.2059,0.1262
Paralysie(s)? pseudo-hypertrophique(s)?,59,102.34,3.8,0.3392,0.4375
Paralysie(s)? rhumatismale(s)?,8,22.67,6.01,0.1128,0.684
Paraplégie(s)? traumatique(s)?,8,24.97,6.62,0.1193,0.7521
Parésie(s)?,1539,45.94,0.07,0.1789,0.0213
Parole(s)?,3816,56.53,0.03,0.209,0.0176
Peau(x)?,2767,40.99,0.03,0.1649,0.0176
Petit(s)? (mal|maux),196,52.58,0.59,0.1978,0.0797
Pharynx,241,42.53,0.39,0.1692,0.0573
Phlegmon(s)?,140,60.94,0.96,0.2215,0.1206
Pied(s)? bot,88,74.99,1.87,0.2615,0.2224
Pied(s)? creux,3,9.36,6.24,0.075,0.7101
Poriomanie(s)?,1,4.22,7.14,0.0604,0.8104
Pouls,1352,20.03,0.03,0.1053,0.0176
Préambule(s)?,34,45.19,2.9,0.1768,0.3373
Propulsion(s)?,47,48.95,2.28,0.1875,0.2679
Putamen(s)?,29,43.83,3.29,0.1729,0.3811
Rein(s)?,2555,37.85,0.03,0.1559,0.0176
Rémission(s)?,615,46.97,0.17,0.1818,0.0327
Rétention(s)?,488,7.23,0.03,0.0689,0.0176
Rétropuesion(s)?,1,4.22,7.14,0.0604,0.8104
Rigidité(s)?,717,32.35,0.1,0.1403,0.0251
Salivation(s)?,83,48.3,1.28,0.1856,0.1563
Sclérodermie(s)?,103,74.47,1.59,0.26,0.1909
Sclérose(s)? fasciculée(s)?,38,81.32,4.67,0.2794,0.535
Sclérose(s)? descendante(s)?,39,67.65,3.79,0.2406,0.4364
Sclérose(s)? latérale(s)?,447,103.04,0.51,0.3411,0.0705
Sclérose(s)? latérale(s)? amyotrophique(s)?,239,98.67,0.91,0.3287,0.1152
Sclérose(s)? multiple(s)?,59,113.1,4.2,0.3697,0.482
Sclérose(s)? postérieure(s)?,28,48.57,3.78,0.1864,0.4351
Sclérose(s)? en plaque(s)?,801,100.26,0.28,0.3332,0.0447
Sclérose(s)? en plaque(s)? disséminées(s)?,45,86.26,4.19,0.2935,0.4812
Scotome(s)? scintillant(s)?,50,63.75,2.79,0.2295,0.325
Status epilepticus,5,15.6,6.48,0.0927,0.7364
Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0,0,0,0
Syndrome(s)?( de)? Parkinson,4,12.48,6.39,0.0839,0.7263
Secours,624,9.24,0.03,0.0747,0.0176
Section(s)?,2815,41.7,0.03,0.1669,0.0176
Simulation(s)?,421,52.69,0.28,0.1981,0.0447
Somnambulisme(s)?,850,165.03,0.43,0.5173,0.0616
Systématisation(s)? de l'organisation de la mo[eë]lle épinière,0,0,0,0,0
Tab[eè]s,3626,334.95,0.2,1.0,0.0367
Tab[eè]s dorsalis,298,-17.03,-0.13,0.0,0.0
Tab[eè]s spasmodique(s)?,61,74.65,2.68,0.2605,0.3128
Tarentisme(s)?,6,21.16,7.39,0.1085,0.838
Température(s)?,2463,36.49,0.03,0.1521,0.0176
Tic(s)?,30969,0.0,0.0,0.0484,0.014
Tic(s)? convulsif(s)?,99,62.96,1.39,0.2273,0.1696
Torticoli(s)?,173,125.08,1.59,0.4038,0.1911
Thermoanesthésie(s)?,20,38.34,4.15,0.1573,0.4774
Thrombose(s)? de l'artère cérébrale postérieure,0,0,0,0,0
Tremblement(s)?,2627,78.42,0.07,0.2712,0.0213
Trépidations?( épilepto[ïi]de(s)?)?( au pied)?,464,73.81,0.35,0.2581,0.053
Trismus,88,63.62,1.59,0.2292,0.1908
Trouble(s)? hémorragique(s)?,0,0,0,0,0
Trouble(s)? trophiques(s)?,645,80.73,0.28,0.2778,0.0447
Tubercule(s)? de(s)? la mo[ëe]lle(s)?,5,15.6,6.48,0.0927,0.7364
Tympanisme(s)?,18,32.79,3.94,0.1415,0.4536
Urée(s)?,4516,0.0,0.0,0.0484,0.014
Uretère(s)?,76,120.11,3.46,0.3896,0.4003
Urticaire(s)?,62,52.84,1.87,0.1985,0.2221
Vertige(s)?,1930,57.62,0.07,0.2121,0.0213
Vision(s)?,2862,0.0,0.0,0.0484,0.014
Vomissement(s)? hystériques(s)?,13,26.29,4.35,0.1231,0.499
Vomissement(s)? urémiques(s)?,2,8.44,8.07,0.0724,0.9143
Vomissement(s)? de(s)? sang(s)?,19,38.42,4.38,0.1576,0.5025
Zona(s)?,248,96.93,0.86,0.3238,0.1098
